days,days_in_month,month,sun_rise,sun_set
1,1,January,07:38,16:02
2,2,January,07:38,16:03
3,3,January,07:38,16:04
4,4,January,07:38,16:05
5,5,January,07:38,16:06
6,6,January,07:38,16:07
7,7,January,07:38,16:08
8,8,January,07:38,16:10
9,9,January,07:37,16:11
10,10,January,07:37,16:12
11,11,January,07:36,16:13
12,12,January,07:36,16:15
13,13,January,07:36,16:16
14,14,January,07:35,16:17
15,15,January,07:34,16:19
16,16,January,07:34,16:20
17,17,January,07:33,16:21
18,18,January,07:32,16:23
19,19,January,07:32,16:24
20,20,January,07:31,16:26
21,21,January,07:30,16:27
22,22,January,07:29,16:29
23,23,January,07:28,16:30
24,24,January,07:27,16:32
25,25,January,07:26,16:33
26,26,January,07:25,16:35
27,27,January,07:24,16:36
28,28,January,07:23,16:38
29,29,January,07:22,16:39
30,30,January,07:20,16:41
31,31,January,07:19,16:43
32,1,February,07:18,16:44
33,2,February,07:16,16:46
34,3,February,07:15,16:47
35,4,February,07:14,16:49
36,5,February,07:12,16:51
37,6,February,07:11,16:52
38,7,February,07:09,16:54
39,8,February,07:08,16:56
40,9,February,07:06,16:57
41,10,February,07:05,16:59
42,11,February,07:03,17:00
43,12,February,07:02,17:02
44,13,February,07:00,17:04
45,14,February,06:59,17:05
46,15,February,06:57,17:07
47,16,February,06:55,17:08
48,17,February,06:53,17:10
49,18,February,06:52,17:12
50,19,February,06:50,17:13
51,20,February,06:48,17:15
52,21,February,06:46,17:16
53,22,February,06:45,17:18
54,23,February,06:43,17:20
55,24,February,06:41,17:21
56,25,February,06:39,17:23
57,26,February,06:37,17:24
58,27,February,06:35,17:26
59,28,February,06:33,17:27
60,1,March,06:31,17:29
61,2,March,06:30,17:31
62,3,March,06:28,17:32
63,4,March,06:26,17:34
64,5,March,06:24,17:35
65,6,March,06:22,17:37
66,7,March,06:20,17:38
67,8,March,06:18,17:40
68,9,March,06:16,17:41
69,10,March,06:14,17:43
70,11,March,06:12,17:44
71,12,March,06:10,17:46
72,13,March,06:08,17:47
73,14,March,06:06,17:49
74,15,March,06:04,17:50
75,16,March,06:02,17:52
76,17,March,05:59,17:53
77,18,March,05:57,17:55
78,19,March,05:55,17:56
79,20,March,05:53,17:58
80,21,March,05:51,17:59
81,22,March,05:49,18:01
82,23,March,05:47,18:02
83,24,March,05:45,18:04
84,25,March,05:43,18:05
85,26,March,05:41,18:07
86,27,March,05:39,18:08
87,28,March,06:37,19:10
88,29,March,06:35,19:11
89,30,March,06:33,19:13
90,31,March,06:30,19:14
91,1,April,06:28,19:15
92,2,April,06:26,19:17
93,3,April,06:24,19:18
94,4,April,06:22,19:20
95,5,April,06:20,19:21
96,6,April,06:18,19:23
97,7,April,06:16,19:24
98,8,April,06:14,19:26
99,9,April,06:12,19:27
100,10,April,06:10,19:29
101,11,April,06:08,19:30
102,12,April,06:06,19:31
103,13,April,06:04,19:33
104,14,April,06:02,19:34
105,15,April,06:00,19:36
106,16,April,05:58,19:37
107,17,April,05:56,19:39
108,18,April,05:54,19:40
109,19,April,05:52,19:42
110,20,April,05:51,19:43
111,21,April,05:49,19:45
112,22,April,05:47,19:46
113,23,April,05:45,19:47
114,24,April,05:43,19:49
115,25,April,05:41,19:50
116,26,April,05:39,19:52
117,27,April,05:38,19:53
118,28,April,05:36,19:55
119,29,April,05:34,19:56
120,30,April,05:32,19:58
121,1,May,05:31,19:59
122,2,May,05:29,20:00
123,3,May,05:27,20:02
124,4,May,05:26,20:03
125,5,May,05:24,20:05
126,6,May,05:22,20:06
127,7,May,05:21,20:07
128,8,May,05:19,20:09
129,9,May,05:18,20:10
130,10,May,05:16,20:12
